0: 9.43%, 3.1624248259362644


1: 63.6, 0.5209304778670174


2: 78.07, 0.33747286977720276


3: 84.38, 0.24776065659381494


4: 87.33, 0.20477249996503094


5: 88.56, 0.18171087646844636


6: 89.51, 0.1685096798426031


7: 90.11, 0.15852643740650404


8: 90.7, 0.15086184647227943


9: 90.89, 0.14470863359062303


10: 91.29, 0.14062631848977422


11: 91.44, 0.13672005187668762


12: 91.56, 0.1347556663662927


13: 91.79, 0.13185887903916768


14: 91.88, 0.13001192530244546


15: 91.93, 0.12915018565621683


16: 91.96, 0.12806389769028792


17: 92.24, 0.12522371460199028


18: 92.27, 0.12393054285672694


19: 92.33, 0.12283525124903304


20: 92.5, 0.121170162752241


21: 92.47, 0.12008681793918335


22: 92.54, 0.11963938623068229


23: 92.58, 0.11843325382034409


24: 92.7, 0.11752201642048997


25: 92.86, 0.11617365273646457


26: 92.85, 0.11557670606493968


27: 92.97, 0.11418476213229806


28: 92.89, 0.11405237480693392


29: 92.92, 0.11305955976261012


30: 92.95, 0.11356389049020518


31: 92.9, 0.1127956201329411


32: 93.03, 0.11133731434466729


33: 93.03, 0.11054800579711062


34: 92.97, 0.11074993715654846


35: 93.08, 0.10951638356641132


36: 93.01, 0.10978957722985315


37: 93.2, 0.10863734375270197


38: 93.17, 0.1091536211361037


39: 93.2, 0.10783092290614409


40: 93.23, 0.10818534265557128
